comparison,metric,system_a,system_a_label,system_b,system_b_label,direction,n_cards,mean_delta,ci_low,ci_high,probability_delta_gt_zero
oracle_minus_best_qsar,feasible_utility,oracle_valid_topk,Oracle upper-bound,qsar_svm,QSAR linear SVR,system_a_minus_system_b,50,7.639400000000002,6.5707775,8.797685000000001,1.0
oracle_minus_best_qsar,ndcg_at_k,oracle_valid_topk,Oracle upper-bound,qsar_svm,QSAR linear SVR,system_a_minus_system_b,50,0.09040728854196173,0.07802810741792217,0.1038724600792676,1.0
oracle_minus_best_qsar,compliance_rate,oracle_valid_topk,Oracle upper-bound,qsar_svm,QSAR linear SVR,system_a_minus_system_b,50,0.0,0.0,0.0,0.0
best_qsar_minus_best_final_llm,feasible_utility,qsar_svm,QSAR linear SVR,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",system_a_minus_system_b,50,3.193899999999997,1.9420949999999948,4.691612499999996,1.0
best_qsar_minus_best_final_llm,ndcg_at_k,qsar_svm,QSAR linear SVR,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",system_a_minus_system_b,50,0.028298961333990326,0.015653555012380502,0.04264857503985431,1.0
best_qsar_minus_best_final_llm,compliance_rate,qsar_svm,QSAR linear SVR,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",system_a_minus_system_b,50,0.0,0.0,0.0,0.0
best_qsar_minus_similarity,feasible_utility,qsar_svm,QSAR linear SVR,similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,7.779099999999997,5.288952500000001,10.436697499999996,1.0
best_qsar_minus_similarity,ndcg_at_k,qsar_svm,QSAR linear SVR,similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,0.08432935636916904,0.05690873005095277,0.11342570882598266,1.0
best_qsar_minus_similarity,compliance_rate,qsar_svm,QSAR linear SVR,similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,0.0,0.0,0.0,0.0
best_final_llm_minus_similarity,feasible_utility,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,4.585200000000001,1.9406424999999983,7.271702500000001,1.0
best_final_llm_minus_similarity,ndcg_at_k,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,0.056030395035178725,0.02774995201384898,0.08643049901688608,1.0
best_final_llm_minus_similarity,compliance_rate,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,0.0,0.0,0.0,0.0
best_final_llm_minus_rules,feasible_utility,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",rules_only,Rule/desirability baseline,system_a_minus_system_b,50,12.145299999999999,10.281519999999999,14.056277500000004,1.0
best_final_llm_minus_rules,ndcg_at_k,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",rules_only,Rule/desirability baseline,system_a_minus_system_b,50,0.15074904897153335,0.13034117496659667,0.1708218071166874,1.0
best_final_llm_minus_rules,compliance_rate,llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",rules_only,Rule/desirability baseline,system_a_minus_system_b,50,0.0,0.0,0.0,0.0
best_raw_llm_minus_similarity,feasible_utility,llm_tools_validator__openai_frontier_selector,"LLM plus tools and validator - OpenAI gpt-5.5, low reasoning, Direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,4.084299999999998,1.454049999999997,6.853452499999998,0.9985
best_raw_llm_minus_similarity,ndcg_at_k,llm_tools_validator__openai_frontier_selector,"LLM plus tools and validator - OpenAI gpt-5.5, low reasoning, Direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,0.04822029442959526,0.018873639983606708,0.07984307456178401,0.999
best_raw_llm_minus_similarity,compliance_rate,llm_tools_validator__openai_frontier_selector,"LLM plus tools and validator - OpenAI gpt-5.5, low reasoning, Direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,50,0.0,0.0,0.0,0.0
