comparison,metric,system_a,system_a_label,system_b,system_b_label,direction,n_cards,mean_delta,ci_low,ci_high,probability_delta_gt_zero
oracle_minus_best_qsar,feasible_utility,oracle_valid_topk,Oracle upper-bound,qsar_svm,QSAR linear SVR,system_a_minus_system_b,91,4.596263736263736,4.028495879120878,5.199851648351649,1.0
oracle_minus_best_qsar,ndcg_at_k,oracle_valid_topk,Oracle upper-bound,qsar_svm,QSAR linear SVR,system_a_minus_system_b,91,0.06246771378894356,0.05467463171802006,0.07065553200868228,1.0
oracle_minus_best_qsar,action_validity,oracle_valid_topk,Oracle upper-bound,qsar_svm,QSAR linear SVR,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
best_qsar_minus_best_final_llm,feasible_utility,qsar_svm,QSAR linear SVR,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",system_a_minus_system_b,91,1.0026923076923058,0.40488736263736125,1.6474697802197782,0.9995
best_qsar_minus_best_final_llm,ndcg_at_k,qsar_svm,QSAR linear SVR,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",system_a_minus_system_b,91,0.00868337654756683,0.0010369041652743597,0.016479108495700417,0.988
best_qsar_minus_best_final_llm,action_validity,qsar_svm,QSAR linear SVR,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",system_a_minus_system_b,91,0.0,0.0,0.0,0.0
best_qsar_minus_similarity,feasible_utility,qsar_svm,QSAR linear SVR,similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,1.6781318681318684,1.03439697802198,2.3653365384615372,1.0
best_qsar_minus_similarity,ndcg_at_k,qsar_svm,QSAR linear SVR,similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,0.018815828082858414,0.010617444586498817,0.02740735871614072,1.0
best_qsar_minus_similarity,action_validity,qsar_svm,QSAR linear SVR,similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
best_final_llm_minus_similarity,feasible_utility,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,0.6754395604395628,-0.10325137362637225,1.4701524725274746,0.956
best_final_llm_minus_similarity,ndcg_at_k,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,0.010132451535291583,0.001277146425758771,0.018995581737186927,0.987
best_final_llm_minus_similarity,action_validity,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
best_final_llm_minus_rules,feasible_utility,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",rules_only,Rule/desirability baseline,system_a_minus_system_b,91,7.042142857142856,5.830686813186812,8.329289835164834,1.0
best_final_llm_minus_rules,ndcg_at_k,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.10129015123470927,0.08585668273866061,0.11808132422985226,1.0
best_final_llm_minus_rules,action_validity,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",rules_only,Rule/desirability baseline,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
best_raw_llm_minus_similarity,raw_feasible_utility,bare_llm__openai_gpt_5_5_2026_04_23_selector,"Bare LLM - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,-0.32181318681318444,-1.4519354395604385,0.7129189560439574,0.27
best_raw_llm_minus_similarity,raw_ndcg_at_k,bare_llm__openai_gpt_5_5_2026_04_23_selector,"Bare LLM - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,-0.0029476532524288965,-0.016117209621555197,0.008874233462635954,0.3205
best_raw_llm_minus_similarity,raw_action_validity,bare_llm__openai_gpt_5_5_2026_04_23_selector,"Bare LLM - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",similarity_to_best_active,Similarity-to-best-active baseline,system_a_minus_system_b,91,-0.2087912087912088,-0.2967032967032967,-0.13186813186813187,0.0
