system_name,display_label,system_group,failure_type,num_cards,cards_with_type,card_rate,total_issue_count,mean_issue_count_per_card
bare_llm__anthropic_frontier,"Bare LLM - Anthropic claude-opus-4-7, original full-pool prompt, no explicit thinking budget",LLM,constraint_failure,50,30,0.6,112.0,2.24
bare_llm__anthropic_frontier_selector,"Bare LLM - Anthropic claude-opus-4-7, no extended thinking, Direct JSON",LLM,constraint_failure,50,28,0.56,109.0,2.18
llm_tools__anthropic_frontier,"LLM plus tool summaries - Anthropic claude-opus-4-7, original full-pool prompt, no explicit thinking budget",LLM,constraint_failure,50,26,0.52,75.0,1.5
llm_tools__deepseek_frontier_selector,"LLM plus tool summaries - DeepSeek deepseek-v4-pro, thinking off, Direct JSON",LLM,constraint_failure,50,25,0.5,87.0,1.74
llm_tools__anthropic_frontier_selector,"LLM plus tool summaries - Anthropic claude-opus-4-7, no extended thinking, Direct JSON",LLM,constraint_failure,50,21,0.42,67.0,1.34
bare_llm__deepseek_frontier_selector,"Bare LLM - DeepSeek deepseek-v4-pro, thinking off, Direct JSON",LLM,constraint_failure,50,20,0.4,96.0,1.92
bare_llm__deepseek_fast,"Bare LLM - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,constraint_failure,50,17,0.34,86.0,1.72
llm_tools__deepseek_fast,"LLM plus tool summaries - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,constraint_failure,50,16,0.32,80.0,1.6
llm_tools__anthropic_fast,"LLM plus tool summaries - Anthropic claude-haiku-4-5-20251001, fast model",LLM,constraint_failure,50,14,0.28,56.0,1.12
bare_llm__openai_frontier_selector,"Bare LLM - OpenAI gpt-5.5, low reasoning, Direct JSON",LLM,constraint_failure,50,12,0.24,17.0,0.34
bare_llm__anthropic_fast,"Bare LLM - Anthropic claude-haiku-4-5-20251001, fast model",LLM,constraint_failure,50,9,0.18,37.0,0.74
bare_llm__openai_fast,"Bare LLM - OpenAI gpt-5.4-mini, low reasoning, fast model",LLM,constraint_failure,50,9,0.18,21.0,0.42
llm_tools__openai_fast,"LLM plus tool summaries - OpenAI gpt-5.4-mini, low reasoning, fast model",LLM,constraint_failure,50,6,0.12,11.0,0.22
llm_tools__openai_frontier_selector,"LLM plus tool summaries - OpenAI gpt-5.5, low reasoning, Direct JSON",LLM,constraint_failure,50,4,0.08,5.0,0.1
llm_tools_validator__anthropic_fast,"LLM plus tools and validator - Anthropic claude-haiku-4-5-20251001, fast model",LLM,none,50,50,1.0,0.0,0.0
llm_tools_validator__anthropic_frontier,"LLM plus tools and validator - Anthropic claude-opus-4-7, original full-pool prompt, no explicit thinking budget",LLM,none,50,50,1.0,0.0,0.0
llm_tools_validator__anthropic_frontier_selector,"LLM plus tools and validator - Anthropic claude-opus-4-7, no extended thinking, Direct JSON",LLM,none,50,50,1.0,0.0,0.0
llm_tools_validator__deepseek_fast,"LLM plus tools and validator - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,none,50,50,1.0,0.0,0.0
llm_tools_validator__deepseek_frontier_selector,"LLM plus tools and validator - DeepSeek deepseek-v4-pro, thinking off, Direct JSON",LLM,none,50,50,1.0,0.0,0.0
llm_tools_validator__openai_fast,"LLM plus tools and validator - OpenAI gpt-5.4-mini, low reasoning, fast model",LLM,none,50,50,1.0,0.0,0.0
llm_tools_validator__openai_frontier,"LLM plus tools and validator - OpenAI gpt-5.5, high reasoning, original full-pool prompt",LLM,none,50,50,1.0,0.0,0.0
llm_tools_validator__openai_frontier_selector,"LLM plus tools and validator - OpenAI gpt-5.5, low reasoning, Direct JSON",LLM,none,50,50,1.0,0.0,0.0
llm_validator__anthropic_fast,"LLM plus validator - Anthropic claude-haiku-4-5-20251001, fast model",LLM,none,50,50,1.0,0.0,0.0
llm_validator__anthropic_frontier,"LLM plus validator - Anthropic claude-opus-4-7, original full-pool prompt, no explicit thinking budget",LLM,none,50,50,1.0,0.0,0.0
llm_validator__anthropic_frontier_selector,"LLM plus validator - Anthropic claude-opus-4-7, no extended thinking, Direct JSON",LLM,none,50,50,1.0,0.0,0.0
llm_validator__deepseek_fast,"LLM plus validator - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,none,50,50,1.0,0.0,0.0
llm_validator__deepseek_frontier_selector,"LLM plus validator - DeepSeek deepseek-v4-pro, thinking off, Direct JSON",LLM,none,50,50,1.0,0.0,0.0
llm_validator__openai_fast,"LLM plus validator - OpenAI gpt-5.4-mini, low reasoning, fast model",LLM,none,50,50,1.0,0.0,0.0
llm_validator__openai_frontier,"LLM plus validator - OpenAI gpt-5.5, high reasoning, original full-pool prompt",LLM,none,50,50,1.0,0.0,0.0
llm_validator__openai_frontier_selector,"LLM plus validator - OpenAI gpt-5.5, low reasoning, Direct JSON",LLM,none,50,50,1.0,0.0,0.0
oracle_valid_topk,Oracle upper-bound,Oracle,none,50,50,1.0,0.0,0.0
qsar_gbt,QSAR gradient boosting,QSAR,none,50,50,1.0,0.0,0.0
qsar_rf,QSAR random forest,QSAR,none,50,50,1.0,0.0,0.0
qsar_svm,QSAR linear SVR,QSAR,none,50,50,1.0,0.0,0.0
random_valid,Random valid baseline,Baseline,none,50,50,1.0,0.0,0.0
rules_only,Rule/desirability baseline,Baseline,none,50,50,1.0,0.0,0.0
similarity_to_best_active,Similarity-to-best-active baseline,Baseline,none,50,50,1.0,0.0,0.0
llm_tools__openai_frontier_selector,"LLM plus tool summaries - OpenAI gpt-5.5, low reasoning, Direct JSON",LLM,none,50,46,0.92,0.0,0.0
bare_llm__openai_frontier_selector,"Bare LLM - OpenAI gpt-5.5, low reasoning, Direct JSON",LLM,none,50,36,0.72,0.0,0.0
bare_llm__anthropic_fast,"Bare LLM - Anthropic claude-haiku-4-5-20251001, fast model",LLM,none,50,30,0.6,0.0,0.0
llm_tools__anthropic_fast,"LLM plus tool summaries - Anthropic claude-haiku-4-5-20251001, fast model",LLM,none,50,29,0.58,0.0,0.0
llm_tools__openai_fast,"LLM plus tool summaries - OpenAI gpt-5.4-mini, low reasoning, fast model",LLM,none,50,28,0.56,0.0,0.0
bare_llm__deepseek_frontier_selector,"Bare LLM - DeepSeek deepseek-v4-pro, thinking off, Direct JSON",LLM,none,50,23,0.46,0.0,0.0
bare_llm__openai_fast,"Bare LLM - OpenAI gpt-5.4-mini, low reasoning, fast model",LLM,none,50,23,0.46,0.0,0.0
llm_tools__deepseek_frontier_selector,"LLM plus tool summaries - DeepSeek deepseek-v4-pro, thinking off, Direct JSON",LLM,none,50,21,0.42,0.0,0.0
llm_tools__anthropic_frontier_selector,"LLM plus tool summaries - Anthropic claude-opus-4-7, no extended thinking, Direct JSON",LLM,none,50,17,0.34,0.0,0.0
llm_tools__anthropic_frontier,"LLM plus tool summaries - Anthropic claude-opus-4-7, original full-pool prompt, no explicit thinking budget",LLM,none,50,15,0.3,0.0,0.0
llm_tools__deepseek_fast,"LLM plus tool summaries - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,none,50,15,0.3,0.0,0.0
bare_llm__anthropic_frontier,"Bare LLM - Anthropic claude-opus-4-7, original full-pool prompt, no explicit thinking budget",LLM,none,50,12,0.24,0.0,0.0
bare_llm__anthropic_frontier_selector,"Bare LLM - Anthropic claude-opus-4-7, no extended thinking, Direct JSON",LLM,none,50,9,0.18,0.0,0.0
bare_llm__deepseek_fast,"Bare LLM - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,none,50,7,0.14,0.0,0.0
bare_llm__deepseek_frontier,"Bare LLM - DeepSeek deepseek-v4-pro, high reasoning, thinking on, original full-pool prompt",LLM,schema_failure,50,50,1.0,50.0,1.0
bare_llm__openai_frontier,"Bare LLM - OpenAI gpt-5.5, high reasoning, original full-pool prompt",LLM,schema_failure,50,50,1.0,50.0,1.0
llm_tools__openai_frontier,"LLM plus tool summaries - OpenAI gpt-5.5, high reasoning, original full-pool prompt",LLM,schema_failure,50,50,1.0,50.0,1.0
llm_tools__deepseek_fast,"LLM plus tool summaries - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,schema_failure,50,2,0.04,2.0,0.04
bare_llm__deepseek_fast,"Bare LLM - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,selection_contract_failure,50,39,0.78,253.0,5.06
bare_llm__anthropic_frontier_selector,"Bare LLM - Anthropic claude-opus-4-7, no extended thinking, Direct JSON",LLM,selection_contract_failure,50,28,0.56,63.0,1.26
bare_llm__anthropic_frontier,"Bare LLM - Anthropic claude-opus-4-7, original full-pool prompt, no explicit thinking budget",LLM,selection_contract_failure,50,28,0.56,61.0,1.22
bare_llm__openai_fast,"Bare LLM - OpenAI gpt-5.4-mini, low reasoning, fast model",LLM,selection_contract_failure,50,25,0.5,115.0,2.3
llm_tools__deepseek_fast,"LLM plus tool summaries - DeepSeek deepseek-v4-flash, thinking off, fast model",LLM,selection_contract_failure,50,24,0.48,172.0,3.44
llm_tools__openai_fast,"LLM plus tool summaries - OpenAI gpt-5.4-mini, low reasoning, fast model",LLM,selection_contract_failure,50,21,0.42,120.0,2.4
llm_tools__anthropic_frontier,"LLM plus tool summaries - Anthropic claude-opus-4-7, original full-pool prompt, no explicit thinking budget",LLM,selection_contract_failure,50,21,0.42,38.0,0.76
