system_name,display_label,system_group,failure_type,num_cards,cards_with_type,card_rate,total_issue_count,mean_issue_count_per_card
llm_tools__deepseek_v4_pro_2026_07_16_selector,"LLM plus tool summaries - DeepSeek deepseek-v4-pro, thinking off, direct JSON",LLM,constraint_failure,91,46,0.5054945054945055,199.0,2.1868131868131866
bare_llm__deepseek_v4_pro_2026_07_16_selector,"Bare LLM - DeepSeek deepseek-v4-pro, thinking off, direct JSON",LLM,constraint_failure,91,46,0.5054945054945055,192.0,2.10989010989011
bare_llm__anthropic_opus_4_8_selector,"Bare LLM - Anthropic claude-opus-4-8, no extended thinking, direct JSON",LLM,constraint_failure,91,46,0.5054945054945055,182.0,2.0
llm_tools__anthropic_opus_4_8_selector,"LLM plus tool summaries - Anthropic claude-opus-4-8, no extended thinking, direct JSON",LLM,constraint_failure,91,45,0.4945054945054945,163.0,1.7912087912087913
llm_tools__openai_gpt_5_5_2026_04_23_selector,"LLM plus tool summaries - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",LLM,constraint_failure,91,10,0.10989010989010989,15.0,0.16483516483516483
bare_llm__openai_gpt_5_5_2026_04_23_selector,"Bare LLM - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",LLM,constraint_failure,91,10,0.10989010989010989,14.0,0.15384615384615385
bare_llm__anthropic_opus_4_8_selector__posthoc_repair,"Bare LLM + post-hoc repair - Anthropic claude-opus-4-8, no extended thinking, direct JSON",LLM,none,91,91,1.0,0.0,0.0
bare_llm__deepseek_v4_pro_2026_07_16_selector__posthoc_repair,"Bare LLM + post-hoc repair - DeepSeek deepseek-v4-pro, thinking off, direct JSON",LLM,none,91,91,1.0,0.0,0.0
bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",LLM,none,91,91,1.0,0.0,0.0
llm_tools__anthropic_opus_4_8_selector__posthoc_repair,"LLM plus tool summaries + post-hoc repair - Anthropic claude-opus-4-8, no extended thinking, direct JSON",LLM,none,91,91,1.0,0.0,0.0
