comparison,metric,system_a,system_a_label,system_b,system_b_label,direction,n_cards,mean_delta,ci_low,ci_high,probability_delta_gt_zero
all_primary_pairs,feasible_utility,qsar_svm,QSAR linear SVR,qsar_rf,QSAR random forest,system_a_minus_system_b,91,0.00840659340659232,-0.37548626373626437,0.3660796703296708,0.5155
all_primary_pairs,ndcg_at_k,qsar_svm,QSAR linear SVR,qsar_rf,QSAR random forest,system_a_minus_system_b,91,-0.0007014485057950861,-0.005447299326933194,0.0039898734241304605,0.388
all_primary_pairs,action_validity,qsar_svm,QSAR linear SVR,qsar_rf,QSAR random forest,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,compliance_rate,qsar_svm,QSAR linear SVR,qsar_rf,QSAR random forest,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_feasible_utility,qsar_svm,QSAR linear SVR,qsar_rf,QSAR random forest,system_a_minus_system_b,91,0.00840659340659232,-0.37548626373626437,0.3660796703296708,0.5155
all_primary_pairs,raw_ndcg_at_k,qsar_svm,QSAR linear SVR,qsar_rf,QSAR random forest,system_a_minus_system_b,91,-0.0007014485057950861,-0.005447299326933194,0.0039898734241304605,0.388
all_primary_pairs,raw_action_validity,qsar_svm,QSAR linear SVR,qsar_rf,QSAR random forest,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_compliance_rate,qsar_svm,QSAR linear SVR,qsar_rf,QSAR random forest,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,feasible_utility,qsar_svm,QSAR linear SVR,qsar_gbt,QSAR gradient boosting,system_a_minus_system_b,91,0.21642857142857214,-0.19855082417582406,0.6220618131868142,0.846
all_primary_pairs,ndcg_at_k,qsar_svm,QSAR linear SVR,qsar_gbt,QSAR gradient boosting,system_a_minus_system_b,91,0.002359833344030629,-0.0029194720986284173,0.008165313329921016,0.805
all_primary_pairs,action_validity,qsar_svm,QSAR linear SVR,qsar_gbt,QSAR gradient boosting,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,compliance_rate,qsar_svm,QSAR linear SVR,qsar_gbt,QSAR gradient boosting,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_feasible_utility,qsar_svm,QSAR linear SVR,qsar_gbt,QSAR gradient boosting,system_a_minus_system_b,91,0.21642857142857214,-0.19855082417582406,0.6220618131868142,0.846
all_primary_pairs,raw_ndcg_at_k,qsar_svm,QSAR linear SVR,qsar_gbt,QSAR gradient boosting,system_a_minus_system_b,91,0.002359833344030629,-0.0029194720986284173,0.008165313329921016,0.805
all_primary_pairs,raw_action_validity,qsar_svm,QSAR linear SVR,qsar_gbt,QSAR gradient boosting,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,raw_compliance_rate,qsar_svm,QSAR linear SVR,qsar_gbt,QSAR gradient boosting,system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,feasible_utility,qsar_svm,QSAR linear SVR,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",system_a_minus_system_b,91,1.0026923076923058,0.4234052197802187,1.6422074175824157,1.0
all_primary_pairs,ndcg_at_k,qsar_svm,QSAR linear SVR,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",system_a_minus_system_b,91,0.00868337654756683,0.0014405102697314855,0.01682521859452564,0.9905
all_primary_pairs,action_validity,qsar_svm,QSAR linear SVR,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",system_a_minus_system_b,91,0.0,0.0,0.0,0.0
all_primary_pairs,compliance_rate,qsar_svm,QSAR linear SVR,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",system_a_minus_system_b,91,0.0,0.0,0.0,0.0
