task_id,series,system_name,display_label,metric_source,feasible_utility,ndcg_at_k,compliance_rate,constrained_regret,oracle_utility
CARA_LO_CHEMBL2328568_IC50_0001,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,102.22,1.0,1.0,0.0,102.22
CARA_LO_CHEMBL3705123_IC50_0002,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,93.09,1.0,1.0,0.0,93.09
CARA_LO_CHEMBL3889097_IC50_0003,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,90.58,1.0,1.0,0.0,90.58
CARA_LO_CHEMBL3705476_IC50_0004,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,90.42999999999999,1.0,1.0,0.0,90.42999999999999
CARA_LO_CHEMBL3887063_IC50_0005,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,96.91,1.0,1.0,0.0,96.91
CARA_LO_CHEMBL4739819_EC50_0006,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,90.03,1.0,1.0,0.0,90.03
CARA_LO_CHEMBL3889212_IC50_0007,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,85.80999999999999,1.0,1.0,0.0,85.80999999999999
CARA_LO_CHEMBL3705899_IC50_0008,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,93.56999999999998,1.0,1.0,0.0,93.56999999999998
CARA_LO_CHEMBL3705357_IC50_0009,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,99.12,1.0,1.0,0.0,99.12
CARA_LO_CHEMBL3887887_IC50_0010,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,95.22,1.0,1.0,0.0,95.22
CARA_LO_CHEMBL3705960_IC50_0011,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,93.52999999999999,1.0,1.0,0.0,93.52999999999999
CARA_LO_CHEMBL3705868_IC50_0012,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,94.52,1.0,1.0,0.0,94.52
CARA_LO_CHEMBL3705983_IC50_0013,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,83.86999999999999,1.0,1.0,0.0,83.86999999999999
CARA_LO_CHEMBL3734174_IC50_0014,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,84.65,1.0,1.0,0.0,84.65
